Sequence|Question|Options|Answer
7|公務員A因在其服務機關組織「同志社團」，而被服務機關以行為不端移付考績委員會懲處，A若於考績委員會調查時，被迫公開性傾向，試問此舉涉及A何種基本權？|訴訟權|0
7|公務員A因在其服務機關組織「同志社團」，而被服務機關以行為不端移付考績委員會懲處，A若於考績委員會調查時，被迫公開性傾向，試問此舉涉及A何種基本權？|婚姻自由|0
7|公務員A因在其服務機關組織「同志社團」，而被服務機關以行為不端移付考績委員會懲處，A若於考績委員會調查時，被迫公開性傾向，試問此舉涉及A何種基本權？|宗教信仰自由|0
8|依據司法院大法官解釋，限制役男出境係對人民居住遷徙自由之重大限制，下列那一選項係正確？|得以法律授權之命令為轉委任授權之依據加以限制|0
8|依據司法院大法官解釋，限制役男出境係對人民居住遷徙自由之重大限制，下列那一選項係正確？|得以職權命令加以限制|0
8|依據司法院大法官解釋，限制役男出境係對人民居住遷徙自由之重大限制，下列那一選項係正確？|經法律明確授權之命令得加以限制|1
8|依據司法院大法官解釋，限制役男出境係對人民居住遷徙自由之重大限制，下列那一選項係正確？|不違反平等原則之行政規則亦可加以限制|0
9|下列何種職務的任命須經由立法院同意？|最高法院院長|0
9|下列何種職務的任命須經由立法院同意？|參謀總長|0
9|下列何種職務的任命須經由立法院同意？|監察院審計長|1
9|下列何種職務的任命須經由立法院同意？|行政院主計長|0
10|甲女是中華民國國民，乙女是日本籍，準備申請來臺工作，丙公司是臺中市政府的長期合作廠商，負責臺中市之城市行銷。丙公司透過徵才程序，原計劃聘僱甲乙兩人，從事文宣策劃工作。然在與甲女簽約前夕，意外得知甲女將在7個月後生產，丙公司遂決定取消聘僱甲女的計畫。下列敘述何者錯誤？|甲女可以作為我國憲法上基本權利的主體|0
10|甲女是中華民國國民，乙女是日本籍，準備申請來臺工作，丙公司是臺中市政府的長期合作廠商，負責臺中市之城市行銷。丙公司透過徵才程序，原計劃聘僱甲乙兩人，從事文宣策劃工作。然在與甲女簽約前夕，意外得知甲女將在7個月後生產，丙公司遂決定取消聘僱甲女的計畫。下列敘述何者錯誤？|甲女在本案中遭到丙公司的歧視|0
10|甲女是中華民國國民，乙女是日本籍，準備申請來臺工作，丙公司是臺中市政府的長期合作廠商，負責臺中市之城市行銷。丙公司透過徵才程序，原計劃聘僱甲乙兩人，從事文宣策劃工作。然在與甲女簽約前夕，意外得知甲女將在7個月後生產，丙公司遂決定取消聘僱甲女的計畫。下列敘述何者錯誤？|甲女不能主張憲法上權利受侵害，因為大法官已經否定基本權利在私人之間可以直接發生規範效力|1
10|甲女是中華民國國民，乙女是日本籍，準備申請來臺工作，丙公司是臺中市政府的長期合作廠商，負責臺中市之城市行銷。丙公司透過徵才程序，原計劃聘僱甲乙兩人，從事文宣策劃工作。然在與甲女簽約前夕，意外得知甲女將在7個月後生產，丙公司遂決定取消聘僱甲女的計畫。下列敘述何者錯誤？|甲女在本案中可以向法院主張憲法第二章的規定為其權利依據|0
11|承上題，丙公司向主管機關申請聘僱乙女，遭到主管機關以妨害本國人就業機會為由而拒絕，試問下列敘述何者錯誤？|外國人也可作為基本權利的主體|0
11|承上題，丙公司向主管機關申請聘僱乙女，遭到主管機關以妨害本國人就業機會為由而拒絕，試問下列敘述何者錯誤？|乙女在本案中遭到歧視|0
11|承上題，丙公司向主管機關申請聘僱乙女，遭到主管機關以妨害本國人就業機會為由而拒絕，試問下列敘述何者錯誤？|外國人的人權也受到我國憲法的保護|0
11|承上題，丙公司向主管機關申請聘僱乙女，遭到主管機關以妨害本國人就業機會為由而拒絕，試問下列敘述何者錯誤？|大法官認為外國人與本國人應該享有完全相同的基本權利內容|1
12|承上題，若主管機關對丙公司拒絕聘僱甲女的行為進行裁罰，下列敘述何者錯誤？|丙公司不能作為基本權利的主體|1
12|承上題，若主管機關對丙公司拒絕聘僱甲女的行為進行裁罰，下列敘述何者錯誤？|丙公司締結契約的自由可以受到法律的限|0
12|承上題，若主管機關對丙公司拒絕聘僱甲女的行為進行裁罰，下列敘述何者錯誤？|丙公司不得以協助從事城市行銷工作為由，主張不受裁罰|0
12|承上題，若主管機關對丙公司拒絕聘僱甲女的行為進行裁罰，下列敘述何者錯誤？|若無法律具體規定，主管機關即不能對丙公司進行裁罰|0
13|承上題，若核准外國人在臺工作的主管機關為行政院勞工委員會，且若臺中市政府在丙公司的請求下，決定由臺中市政府直接聘僱具日文專長的乙女，以參與丙公司的城市行銷工作，但仍為行政院勞工委員會所拒，試問下列敘述何者正確？|地方自治團體不得主張契約自由|0
13|承上題，若核准外國人在臺工作的主管機關為行政院勞工委員會，且若臺中市政府在丙公司的請求下，決定由臺中市政府直接聘僱具日文專長的乙女，以參與丙公司的城市行銷工作，但仍為行政院勞工委員會所拒，試問下列敘述何者正確？|地方自治團體享有的基本權利內容與私法人不同|1
13|承上題，若核准外國人在臺工作的主管機關為行政院勞工委員會，且若臺中市政府在丙公司的請求下，決定由臺中市政府直接聘僱具日文專長的乙女，以參與丙公司的城市行銷工作，但仍為行政院勞工委員會所拒，試問下列敘述何者正確？|地方自治團體無權聘僱外國人|0
13|承上題，若核准外國人在臺工作的主管機關為行政院勞工委員會，且若臺中市政府在丙公司的請求下，決定由臺中市政府直接聘僱具日文專長的乙女，以參與丙公司的城市行銷工作，但仍為行政院勞工委員會所拒，試問下列敘述何者正確？|地方自治團體不得與私法人締約|0
14|承上題，若臺中市政府不滿行政院勞工委員會不核准其聘僱乙女之申請，試問下列敘述何者正確？|臺中市政府得利用基本權利中的平等權來對抗中央的行政院勞工委員會|0
14|承上題，若臺中市政府不滿行政院勞工委員會不核准其聘僱乙女之申請，試問下列敘述何者正確？|地方自治團體不是基本權利主體|0
14|承上題，若臺中市政府不滿行政院勞工委員會不核准其聘僱乙女之申請，試問下列敘述何者正確？|地方自治團體可以享有憲法所保障之訴訟權|1
14|承上題，若臺中市政府不滿行政院勞工委員會不核准其聘僱乙女之申請，試問下列敘述何者正確？|臺中市政府得直接向臺中高等行政法院請求救濟|0
15|下列敘述何者錯誤？|憲法明文賦予監察院有向行政院調閱其所發布之命令及各種有關文件之權限|0
15|下列敘述何者錯誤？|雖無憲法明文規定，但立法院經司法院大法官解釋而擁有「調查權」|0
15|下列敘述何者錯誤？|立法院經院會決議，得設立「調閱委員會」|0
15|下列敘述何者錯誤？|立法院行使調查權，得向有關機關調閱相關文件，各該機關依司法院大法官解釋，於必要時得行使「抵抗權」|1
16|下列敘述，何者正確？|總統副總統選舉罷免法規定，只有非政黨推薦之候選人方須有一定選民之連署並繳交保證金，違反平等原則|0
16|下列敘述，何者正確？|公職人員選舉罷免法規定，政黨推薦之候選人僅須繳交一半保證金，不違反平等原則|0
16|下列敘述，何者正確？|立法委員選舉，未獲得百分之五以上政黨選舉票之政黨，不得參與分配全國不分區代表的席次|1
16|下列敘述，何者正確？|政黨違憲應予解散的規定，主要因為該政黨違反平等原則|0
17|關於憲法上土地政策之敘述，下列敘述何者正確？|土地增值稅是立法者所創設的稅制，立法院可以決定其存廢|0
17|關於憲法上土地政策之敘述，下列敘述何者正確？|按土地交易價格課稅的制度違憲|0
17|關於憲法上土地政策之敘述，下列敘述何者正確？|土地增值稅係因土地價值非因施以勞力資本而增加者，故其增值利益應由人民所共享|1
17|關於憲法上土地政策之敘述，下列敘述何者正確？|土地增值稅係作為懲罰地主囤積土地的有效工具|0
18|下列何者非得為聲請釋憲之主體？|現有總額三分之一以上之立法委員|0
18|下列何者非得為聲請釋憲之主體？|總統府|1
18|下列何者非得為聲請釋憲之主體？|考試院|0
18|下列何者非得為聲請釋憲之主體？|政黨|0
19|立法委員在立法院內的表決行為，對院外應負何種責任？|政治責任|1
19|立法委員在立法院內的表決行為，對院外應負何種責任？|民事賠償責任|0
19|立法委員在立法院內的表決行為，對院外應負何種責任？|行政責任|0
19|立法委員在立法院內的表決行為，對院外應負何種責任？|刑事責任|0
20|下列何者為監察院「彈劾權」行使之對象？|總統|0
20|下列何者為監察院「彈劾權」行使之對象？|立法委員|0
20|下列何者為監察院「彈劾權」行使之對象？|法官|1
20|下列何者為監察院「彈劾權」行使之對象？|公立大學未兼任行政職務之教授|0
21|下列公法上之爭議事件，依現行有效法規，何者屬行政法院管轄？|違反社會秩序維護法，不服主管警察局作成之裁處，所提起之訴訟|0
21|下列公法上之爭議事件，依現行有效法規，何者屬行政法院管轄？|依公職人員選舉罷免法之規定，選舉或罷免無效、當選無效、罷免案通過無效及罷免案否決無效之訴訟|0
21|下列公法上之爭議事件，依現行有效法規，何者屬行政法院管轄？|律師違反律師法，不服律師懲戒委員會懲戒之決定，提起救濟之事件|0
21|下列公法上之爭議事件，依現行有效法規，何者屬行政法院管轄？|公務人員不服公務人員保障暨培訓委員會對其所提起之復審所作之決定，而提起之訴訟事件|1
22|甲為遺產稅納稅義務人，於遺產稅核定通知後逾6個月，始獲法院判決確定所繼承之債權，因債務人死亡無財產可供執行，債權未獲實現。甲據以向國稅局申請依行政程序法第128條重開程序，國稅局以其非屬新事證，不合重開程序要件，予以否准。甲得循下列何項程序救濟？|提起訴願、課予義務訴訟|1
22|甲為遺產稅納稅義務人，於遺產稅核定通知後逾6個月，始獲法院判決確定所繼承之債權，因債務人死亡無財產可供執行，債權未獲實現。甲據以向國稅局申請依行政程序法第128條重開程序，國稅局以其非屬新事證，不合重開程序要件，予以否准。甲得循下列何項程序救濟？|提起訴願、撤銷訴訟|0
22|甲為遺產稅納稅義務人，於遺產稅核定通知後逾6個月，始獲法院判決確定所繼承之債權，因債務人死亡無財產可供執行，債權未獲實現。甲據以向國稅局申請依行政程序法第128條重開程序，國稅局以其非屬新事證，不合重開程序要件，予以否准。甲得循下列何項程序救濟？|提起確認公法上法律關係不存在之訴訟|0
22|甲為遺產稅納稅義務人，於遺產稅核定通知後逾6個月，始獲法院判決確定所繼承之債權，因債務人死亡無財產可供執行，債權未獲實現。甲據以向國稅局申請依行政程序法第128條重開程序，國稅局以其非屬新事證，不合重開程序要件，予以否准。甲得循下列何項程序救濟？|提起公法上一般給付訴訟|0
23|中華電信公司因不服國家通訊傳播委員會核定調降其固網費率，依現行司法實務見解，應循下列何項程序尋求救濟？|國家通訊傳播委員會為獨立機關所為處分毋須經訴願程序，得逕行提起行政訴訟|0
23|中華電信公司因不服國家通訊傳播委員會核定調降其固網費率，依現行司法實務見解，應循下列何項程序尋求救濟？|國家通訊傳播委員會為獨立機關所為處分得向國家通訊傳播委員會提起訴願後，提起行政訴訟|0
23|中華電信公司因不服國家通訊傳播委員會核定調降其固網費率，依現行司法實務見解，應循下列何項程序尋求救濟？|國家通訊傳播委員會為行政院所屬機關，得向交通部提起訴願後，提起行政訴訟|0
23|中華電信公司因不服國家通訊傳播委員會核定調降其固網費率，依現行司法實務見解，應循下列何項程序尋求救濟？|國家通訊傳播委員會為行政院所屬機關，得向行政院提起訴願後，提起行政訴訟|1
24|農民健康保險條例之中央主管機關為內政部；同條例第4條第1項規定：「本保險由中央主管機關設立之中央社會保險局為保險人。在中央社會保險局未設立前，業務暫委託勞工保險局辦理，並為保險人。」甲為農民健康保險之被保險人，向勞工保險局申請傷病給付，經勞工保險局審查後，以甲自始不具農民身分，不符農民健康保險條例所定投保資格，乃拒絕給付。甲不服，應以下列何機關為訴願管轄機關？|內政部|1
24|農民健康保險條例之中央主管機關為內政部；同條例第4條第1項規定：「本保險由中央主管機關設立之中央社會保險局為保險人。在中央社會保險局未設立前，業務暫委託勞工保險局辦理，並為保險人。」甲為農民健康保險之被保險人，向勞工保險局申請傷病給付，經勞工保險局審查後，以甲自始不具農民身分，不符農民健康保險條例所定投保資格，乃拒絕給付。甲不服，應以下列何機關為訴願管轄機關？|行政院農業委員會|0
24|農民健康保險條例之中央主管機關為內政部；同條例第4條第1項規定：「本保險由中央主管機關設立之中央社會保險局為保險人。在中央社會保險局未設立前，業務暫委託勞工保險局辦理，並為保險人。」甲為農民健康保險之被保險人，向勞工保險局申請傷病給付，經勞工保險局審查後，以甲自始不具農民身分，不符農民健康保險條例所定投保資格，乃拒絕給付。甲不服，應以下列何機關為訴願管轄機關？|行政院|0
24|農民健康保險條例之中央主管機關為內政部；同條例第4條第1項規定：「本保險由中央主管機關設立之中央社會保險局為保險人。在中央社會保險局未設立前，業務暫委託勞工保險局辦理，並為保險人。」甲為農民健康保險之被保險人，向勞工保險局申請傷病給付，經勞工保險局審查後，以甲自始不具農民身分，不符農民健康保險條例所定投保資格，乃拒絕給付。甲不服，應以下列何機關為訴願管轄機關？|行政院勞工委員會|0
25|下列有關行政訴訟管轄權之敘述，依現行有效之行政訴訟法規定，何者錯誤？|住在臺中的甲因全民健康保險拒絕給付新臺幣100萬元事件，以在臺北的中央健康保險局為被告提起行政訴訟，本案件甲得就近以臺中高等行政法院為管轄法院|0
25|下列有關行政訴訟管轄權之敘述，依現行有效之行政訴訟法規定，何者錯誤？|住在臺南的乙擁有一筆位於臺中市的土地，乙不服內政部所為該筆土地之徵收處分欲提起撤銷訴訟，本案件得以被告機關所在地之臺北高等行政法院為管轄法院|1
25|下列有關行政訴訟管轄權之敘述，依現行有效之行政訴訟法規定，何者錯誤？|丙服務於經濟部標準檢驗局（位於臺北市），但被派駐在高雄市服務，若丙因職務關係與該局有所爭執欲提起行政訴訟，本案亦得以高雄高等行政法院為管轄法院|0
25|下列有關行政訴訟管轄權之敘述，依現行有效之行政訴訟法規定，何者錯誤？|丁向被告機關所在地臺北高等行政法院提起行政訴訟，即使被告機關其後搬遷至高雄市，亦不影響臺北高等行政法院對於本案之管轄權|0
26|下列有關國家賠償法與其他法律間關係之敘述，何者正確？|依據司法院釋字第670號解釋之意旨，冤獄賠償法係國家賠償法之特別法|0
26|下列有關國家賠償法與其他法律間關係之敘述，何者正確？|民法為國家賠償法的補充法，因此除國家賠償法有特別規定者外，國家賠償案件適用民法之規定|1
26|下列有關國家賠償法與其他法律間關係之敘述，何者正確？|民法為國家賠償法的補充法，因此有關國家賠償請求權消滅時效期間，應適用民法之規定|0
26|下列有關國家賠償法與其他法律間關係之敘述，何者正確？|土地法第68條有關土地登記錯誤賠償性質上並非國家賠償，因此被害人得合併行使「土地登記錯誤賠償」與「國家賠償」而不產生衝突|0
27|下列有關行政訴訟假處分的敘述，何者錯誤？|提起撤銷訴訟之原告，不得對於系爭行政處分聲請行政法院作出假處分之裁定|0
27|下列有關行政訴訟假處分的敘述，何者錯誤？|凡不能以本案訴訟達成救濟目的者，亦不得聲請假處分|0
27|下列有關行政訴訟假處分的敘述，何者錯誤？|行政法院得不待當事人聲請，自行依職權裁定假處分|1
27|下列有關行政訴訟假處分的敘述，何者錯誤？|於爭執之公法上法律關係，為防止發生重大之損害或避免急迫之危險而有必要時，得聲請為定暫時狀態之處分|0
28|以下有關我國行政訴訟法上訴訟參加之敘述，何者正確？|本案訴訟標的對於第三人及當事人一造必須合一確定者，限於第三人有聲請時，行政法院始得裁定命該第三人參加訴訟|0
28|以下有關我國行政訴訟法上訴訟參加之敘述，何者正確？|對於行政法院命參加訴訟之裁定，本案訴訟之當事人或第三人得聲明不服|0
28|以下有關我國行政訴訟法上訴訟參加之敘述，何者正確？|必要共同訴訟之原告、被告以外的參加人，可對本案訴訟進行訴之追加、變更、提起反訴、訴之撤回|0
28|以下有關我國行政訴訟法上訴訟參加之敘述，何者正確？|行政法院之判決，對於經行政法院以裁定命必要共同訴訟之第三人參加訴訟，而未為參加者，亦有效力|1
29|民間拖吊業者聽命於現場員警執行拖吊業務，其所表現之拖吊行為，係屬於何種地位？|行政委託|0
29|民間拖吊業者聽命於現場員警執行拖吊業務，其所表現之拖吊行為，係屬於何種地位？|行政助手|1
29|民間拖吊業者聽命於現場員警執行拖吊業務，其所表現之拖吊行為，係屬於何種地位？|行政協助|0
29|民間拖吊業者聽命於現場員警執行拖吊業務，其所表現之拖吊行為，係屬於何種地位？|委辦|0
30|人民一行為同時違反中央法規及地方自治條例應處以罰鍰之規定時，下列敘述，何者正確？|中央法規優於地方自治條例而應依中央法規處罰之|0
30|人民一行為同時違反中央法規及地方自治條例應處以罰鍰之規定時，下列敘述，何者正確？|應依行為地之地方自治條例處罰之|0
30|人民一行為同時違反中央法規及地方自治條例應處以罰鍰之規定時，下列敘述，何者正確？|由受理在先之機關依其主管法規規定處罰之|0
30|人民一行為同時違反中央法規及地方自治條例應處以罰鍰之規定時，下列敘述，何者正確？|應依法定罰鍰額最高之規定處罰之|1
31|A公司於臺北市小巨蛋舉辦歌唱比賽，使用擴音設施超過噪音管制標準，臺北市政府乃派員前往稽查，於現場依噪音管制法第24條第1項開立書面改善通知，命A公司於10分鐘內改善，A公司因逾限仍未改善，臺北市政府除開立罰單外，並每10分鐘通知A公司改善，且按次開立罰單。A公司不服，得如何救濟？|依行政執行法聲明異議|0
31|A公司於臺北市小巨蛋舉辦歌唱比賽，使用擴音設施超過噪音管制標準，臺北市政府乃派員前往稽查，於現場依噪音管制法第24條第1項開立書面改善通知，命A公司於10分鐘內改善，A公司因逾限仍未改善，臺北市政府除開立罰單外，並每10分鐘通知A公司改善，且按次開立罰單。A公司不服，得如何救濟？|依訴願法提起訴願；不服決定者，再行提起行政訴訟|1
31|A公司於臺北市小巨蛋舉辦歌唱比賽，使用擴音設施超過噪音管制標準，臺北市政府乃派員前往稽查，於現場依噪音管制法第24條第1項開立書面改善通知，命A公司於10分鐘內改善，A公司因逾限仍未改善，臺北市政府除開立罰單外，並每10分鐘通知A公司改善，且按次開立罰單。A公司不服，得如何救濟？|依行政執行法聲明異議後，不服決定者，再行提起訴願、行政訴訟|0
31|A公司於臺北市小巨蛋舉辦歌唱比賽，使用擴音設施超過噪音管制標準，臺北市政府乃派員前往稽查，於現場依噪音管制法第24條第1項開立書面改善通知，命A公司於10分鐘內改善，A公司因逾限仍未改善，臺北市政府除開立罰單外，並每10分鐘通知A公司改善，且按次開立罰單。A公司不服，得如何救濟？|向行政法院提起確認已執行完畢行政處分違法之訴訟|0
32|下列有關我國行政罰制度之敘述，何者正確？|商號未經許可擅將建築物變更營業項目使用，致同時違反建築法及商業登記法之處罰規定而應裁處罰鍰時，應擇一從重處斷|1
32|下列有關我國行政罰制度之敘述，何者正確？|訴願決定前法律有變更，受理訴願機關為訴願決定時，仍應適用行政罰法第5條從新從輕原則|0
32|下列有關我國行政罰制度之敘述，何者正確？|法律失效前所為觸犯該法之行為，於該法失效後仍得依據該法課予裁罰|0
32|下列有關我國行政罰制度之敘述，何者正確？|違規停車之行為不論持續多久，均僅為一行為，僅得課予一次的裁罰|0
33|甲僱工盜採嘉義縣阿里山鄉國有林地樹木，為山地農牧局巡山員查獲，經嘉義縣政府調查發現，甲同時違反山坡地保育利用條例濫墾山坡地之刑事罰責任及飲用水管理條例破壞水源之行政罰責任。依行政罰法之規定，嘉義縣政府得採下列何項行為？|依飲用水管理條例規定，先行對甲裁處罰鍰|0
33|甲僱工盜採嘉義縣阿里山鄉國有林地樹木，為山地農牧局巡山員查獲，經嘉義縣政府調查發現，甲同時違反山坡地保育利用條例濫墾山坡地之刑事罰責任及飲用水管理條例破壞水源之行政罰責任。依行政罰法之規定，嘉義縣政府得採下列何項行為？|依飲用水管理條例規定，先行沒入甲之機具|0
33|甲僱工盜採嘉義縣阿里山鄉國有林地樹木，為山地農牧局巡山員查獲，經嘉義縣政府調查發現，甲同時違反山坡地保育利用條例濫墾山坡地之刑事罰責任及飲用水管理條例破壞水源之行政罰責任。依行政罰法之規定，嘉義縣政府得採下列何項行為？|先移送水土保持局，依山坡地保育利用條例規定論處|0
33|甲僱工盜採嘉義縣阿里山鄉國有林地樹木，為山地農牧局巡山員查獲，經嘉義縣政府調查發現，甲同時違反山坡地保育利用條例濫墾山坡地之刑事罰責任及飲用水管理條例破壞水源之行政罰責任。依行政罰法之規定，嘉義縣政府得採下列何項行為？|先移送地方法院檢察署|1
34|A公司向B行政機關申請研發高科技之行政補助獲准後，B行政機關於核准函中核定分2期給付補助款，頭期款於開始進行研發時給付，第2期款則於研發成果呈報B，經審查通過後給付之，下列敘述，何者錯誤？|B之補助處分是附期限之行政處分|0
34|A公司向B行政機關申請研發高科技之行政補助獲准後，B行政機關於核准函中核定分2期給付補助款，頭期款於開始進行研發時給付，第2期款則於研發成果呈報B，經審查通過後給付之，下列敘述，何者錯誤？|B之補助處分是附條件之行政處分|0
34|A公司向B行政機關申請研發高科技之行政補助獲准後，B行政機關於核准函中核定分2期給付補助款，頭期款於開始進行研發時給付，第2期款則於研發成果呈報B，經審查通過後給付之，下列敘述，何者錯誤？|B之補助處分是附負擔之行政處分|0
34|A公司向B行政機關申請研發高科技之行政補助獲准後，B行政機關於核准函中核定分2期給付補助款，頭期款於開始進行研發時給付，第2期款則於研發成果呈報B，經審查通過後給付之，下列敘述，何者錯誤？|B之補助處分是保留事後廢止權之行政處分|1
35|中央健康保險局對特約醫療院所甲，因其保險病房未達法定設置基準，故依全民健康保險法之相關規定，予以處罰，並責令限期改善。依最高行政法院之見解，下列敘述，何者正確？|此一處罰乃屬行政契約上之意思表示|0
35|中央健康保險局對特約醫療院所甲，因其保險病房未達法定設置基準，故依全民健康保險法之相關規定，予以處罰，並責令限期改善。依最高行政法院之見解，下列敘述，何者正確？|處罰甲乃屬一個獨立的行政處分|1
35|中央健康保險局對特約醫療院所甲，因其保險病房未達法定設置基準，故依全民健康保險法之相關規定，予以處罰，並責令限期改善。依最高行政法院之見解，下列敘述，何者正確？|處罰甲為混合行政處分與行政契約之法律行為|0
35|中央健康保險局對特約醫療院所甲，因其保險病房未達法定設置基準，故依全民健康保險法之相關規定，予以處罰，並責令限期改善。依最高行政法院之見解，下列敘述，何者正確？|責令甲限期改善乃是一種行政指導|0
36|下列何者屬於行政處分？|地方政府與被害人民簽署國家賠償協議書|0
36|下列何者屬於行政處分？|氣象局播報氣象|0
36|下列何者屬於行政處分？|鄉公所舖設道路|0
36|下列何者屬於行政處分？|主管機關責令商家清除騎樓上道路障礙|1
37|某甲喝酒駕車，經員警酒測，其酒測值血液中酒精含量超過0.55毫克/公升，已達不能安全駕駛，主管機關如吊扣其駕照及移置保管該汽車，下列敘述，何者正確？|吊扣駕照必須等到刑事判決確定才可為之|0
37|某甲喝酒駕車，經員警酒測，其酒測值血液中酒精含量超過0.55毫克/公升，已達不能安全駕駛，主管機關如吊扣其駕照及移置保管該汽車，下列敘述，何者正確？|吊扣駕照以及移置保管該汽車都屬於行政罰|0
